id,date,day ,date2,datetime,hour,cash_type,card,money,coffee_name
1,01-03-2024,Friday,Mar,15:50.5,10:15:51,card,ANON-0000-0000-0001,38.7,Latte
2,01-03-2024,Friday,Mar,19:22.5,12:19:23,card,ANON-0000-0000-0002,38.7,Hot Chocolate
3,01-03-2024,Friday,Mar,20:18.1,12:20:18,card,ANON-0000-0000-0002,38.7,Hot Chocolate
4,01-03-2024,Friday,Mar,46:33.0,13:46:33,card,ANON-0000-0000-0003,28.9,Americano
5,01-03-2024,Friday,Mar,48:14.6,13:48:15,card,ANON-0000-0000-0004,38.7,Latte
6,01-03-2024,Friday,Mar,39:47.7,15:39:48,card,ANON-0000-0000-0005,33.8,Americano with Milk
7,01-03-2024,Friday,Mar,19:02.8,16:19:03,card,ANON-0000-0000-0006,38.7,Hot Chocolate
8,01-03-2024,Friday,Mar,39:03.6,18:39:04,card,ANON-0000-0000-0007,33.8,Americano with Milk
9,01-03-2024,Friday,Mar,22:01.8,19:22:02,card,ANON-0000-0000-0008,38.7,Cocoa
10,01-03-2024,Friday,Mar,23:15.9,19:23:16,card,ANON-0000-0000-0008,33.8,Americano with Milk
11,01-03-2024,Friday,Mar,29:17.4,19:29:17,card,ANON-0000-0000-0009,33.8,Americano with Milk
12,02-03-2024,Saturday,Mar,22:07.0,10:22:07,card,ANON-0000-0000-0010,28.9,Americano
13,02-03-2024,Saturday,Mar,30:35.7,10:30:36,cash,,40,Latte
14,02-03-2024,Saturday,Mar,41:41.2,10:41:41,card,ANON-0000-0000-0011,33.8,Americano with Milk
15,02-03-2024,Saturday,Mar,59:45.5,11:59:45,card,ANON-0000-0000-0012,33.8,Americano with Milk
16,02-03-2024,Saturday,Mar,38:35.5,14:38:36,card,ANON-0000-0000-0013,28.9,Americano
17,02-03-2024,Saturday,Mar,37:24.5,16:37:24,card,ANON-0000-0000-0014,33.8,Americano with Milk
18,02-03-2024,Saturday,Mar,34:55.0,17:34:55,card,ANON-0000-0000-0004,28.9,Americano
19,03-03-2024,Sunday,Mar,10:44.0,10:10:44,cash,,40,Latte
20,03-03-2024,Sunday,Mar,27:18.6,10:27:19,card,ANON-0000-0000-0015,38.7,Latte
21,03-03-2024,Sunday,Mar,33:56.1,11:33:56,card,ANON-0000-0000-0016,28.9,Cortado
22,03-03-2024,Sunday,Mar,26:56.1,12:26:56,card,ANON-0000-0000-0012,28.9,Americano
23,03-03-2024,Sunday,Mar,09:36.3,13:09:36,card,ANON-0000-0000-0017,38.7,Hot Chocolate
24,03-03-2024,Sunday,Mar,06:40.3,17:06:40,card,ANON-0000-0000-0018,38.7,Cocoa
25,03-03-2024,Sunday,Mar,08:45.9,17:08:46,card,ANON-0000-0000-0019,28.9,Cortado
26,03-03-2024,Sunday,Mar,03:23.4,18:03:23,card,ANON-0000-0000-0020,33.8,Americano with Milk
27,03-03-2024,Sunday,Mar,04:27.9,18:04:28,card,ANON-0000-0000-0020,33.8,Americano with Milk
28,03-03-2024,Sunday,Mar,08:05.0,18:08:05,card,ANON-0000-0000-0020,38.7,Hot Chocolate
29,04-03-2024,Monday,Mar,03:52.0,10:03:52,card,ANON-0000-0000-0001,38.7,Latte
30,04-03-2024,Monday,Mar,54:51.0,10:54:51,card,ANON-0000-0000-0021,38.7,Latte
31,04-03-2024,Monday,Mar,05:16.2,11:05:16,card,ANON-0000-0000-0012,33.8,Americano with Milk
32,04-03-2024,Monday,Mar,04:37.7,14:04:38,card,ANON-0000-0000-0022,24,Espresso
33,05-03-2024,Tuesday,Mar,59:52.7,09:59:53,card,ANON-0000-0000-0001,38.7,Latte
34,05-03-2024,Tuesday,Mar,34:56.0,14:34:56,card,ANON-0000-0000-0023,38.7,Latte
35,05-03-2024,Tuesday,Mar,34:06.0,17:34:06,card,ANON-0000-0000-0024,38.7,Latte
36,05-03-2024,Tuesday,Mar,35:25.0,17:35:25,card,ANON-0000-0000-0025,38.7,Hot Chocolate
37,05-03-2024,Tuesday,Mar,36:28.6,17:36:29,card,ANON-0000-0000-0026,38.7,Cocoa
38,05-03-2024,Tuesday,Mar,37:13.7,17:37:14,card,ANON-0000-0000-0027,38.7,Hot Chocolate
39,05-03-2024,Tuesday,Mar,38:09.4,17:38:09,card,ANON-0000-0000-0009,38.7,Hot Chocolate
40,05-03-2024,Tuesday,Mar,56:15.8,17:56:16,card,ANON-0000-0000-0028,28.9,Cortado
41,05-03-2024,Tuesday,Mar,01:31.2,18:01:31,card,ANON-0000-0000-0028,38.7,Hot Chocolate
42,06-03-2024,Wednesday,Mar,30:27.1,12:30:27,cash,,35,Americano with Milk
43,06-03-2024,Wednesday,Mar,24:07.7,13:24:08,card,ANON-0000-0000-0012,28.9,Americano
44,06-03-2024,Wednesday,Mar,25:14.4,13:25:14,card,ANON-0000-0000-0012,28.9,Cortado
45,06-03-2024,Wednesday,Mar,52:01.8,14:52:02,card,ANON-0000-0000-0029,38.7,Cappuccino
46,06-03-2024,Wednesday,Mar,53:18.3,14:53:18,card,ANON-0000-0000-0029,38.7,Cappuccino
47,07-03-2024,Thursday,Mar,08:58.9,10:08:59,cash,,40,Latte
48,07-03-2024,Thursday,Mar,18:40.5,10:18:41,card,ANON-0000-0000-0030,38.7,Hot Chocolate
49,07-03-2024,Thursday,Mar,03:59.0,11:03:59,card,ANON-0000-0000-0031,38.7,Latte
50,07-03-2024,Thursday,Mar,25:44.0,11:25:44,cash,,40,Latte
51,07-03-2024,Thursday,Mar,40:22.6,15:40:23,card,ANON-0000-0000-0032,28.9,Americano
52,07-03-2024,Thursday,Mar,41:28.8,15:41:29,card,ANON-0000-0000-0033,33.8,Americano with Milk
53,08-03-2024,Friday,Mar,34:41.3,10:34:41,card,ANON-0000-0000-0012,28.9,Cortado
54,08-03-2024,Friday,Mar,22:28.7,12:22:29,card,ANON-0000-0000-0034,38.7,Cappuccino
55,08-03-2024,Friday,Mar,53:02.0,13:53:02,card,ANON-0000-0000-0035,28.9,Americano
56,08-03-2024,Friday,Mar,44:12.7,14:44:13,card,ANON-0000-0000-0012,28.9,Americano
57,08-03-2024,Friday,Mar,45:11.0,14:45:11,card,ANON-0000-0000-0033,28.9,Americano
58,08-03-2024,Friday,Mar,46:11.2,14:46:11,card,ANON-0000-0000-0012,33.8,Americano with Milk
59,08-03-2024,Friday,Mar,57:51.5,18:57:51,card,ANON-0000-0000-0036,38.7,Latte
60,08-03-2024,Friday,Mar,59:24.9,18:59:25,card,ANON-0000-0000-0037,38.7,Latte
61,09-03-2024,Saturday,Mar,49:37.3,11:49:37,cash,,40,Hot Chocolate
62,09-03-2024,Saturday,Mar,05:15.6,12:05:16,card,ANON-0000-0000-0038,24,Espresso
63,09-03-2024,Saturday,Mar,07:38.3,12:07:38,card,ANON-0000-0000-0039,28.9,Americano
64,09-03-2024,Saturday,Mar,09:47.7,12:09:48,card,ANON-0000-0000-0012,38.7,Cappuccino
65,09-03-2024,Saturday,Mar,13:03.5,12:13:04,card,ANON-0000-0000-0040,28.9,Americano
66,09-03-2024,Saturday,Mar,14:26.5,12:14:26,card,ANON-0000-0000-0040,28.9,Americano
67,09-03-2024,Saturday,Mar,09:22.2,13:09:22,card,ANON-0000-0000-0041,38.7,Latte
